trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
936,False,"{'a': 0.5, 'e': 0.1541236618151314}",25,0,15.626617095311625,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
937,False,"{'a': 0.5, 'e': 0.15381572253342926}",20,9,-0.5059028920359188,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
938,False,"{'a': 0.5, 'e': 0.15350839851482234}",30,16,10.47686936384572,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
939,False,"{'a': 0.5, 'e': 0.15320168853001417}",25,5,20.62995976638095,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
940,False,"{'a': 0.5, 'e': 0.15289559135216438}",30,8,-38.48528087938927,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
941,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,8,11.547035595728156,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
942,False,"{'a': 0.5, 'e': 0.1522852305222298}",20,14,9.796414614631384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.5, 'e': 0.1519809644287009}",20,12,15.168591035320828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.5, 'e': 0.15167730625923234}",25,6,9.268748223208535,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
945,False,"{'a': 0.5, 'e': 0.1513742547991911}",25,4,-18.088373186763143,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
946,False,"{'a': 0.5, 'e': 0.15107180883637084}",25,16,17.527255769892083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.5, 'e': 0.15076996716098734}",20,2,21.196950379764456,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.5, 'e': 0.15046872856567356}",25,13,19.776515678761914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.5, 'e': 0.15016809184547464}",20,6,14.467306181269397,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
950,False,"{'a': 0.5, 'e': 0.14986805579784332}",25,5,20.722930204994295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,15,22.09709022800161,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.5, 'e': 0.14926978092210305}",30,12,25.25020475278139,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
953,False,"{'a': 0.5, 'e': 0.1489715397008938}",35,25,12.247799312738938,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
954,False,"{'a': 0.5, 'e': 0.14867389436604195}",25,10,28.06499935969268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.5, 'e': 0.14837684372696583}",25,3,12.473203768896692,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
956,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,8,8.09201656110698,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
